poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
19aa47c419fe05c1fa920ce5f658a917,ملاهي بووست - Boost,Jeddah,Jeddah,"Gold Moor, Ahmad Al Attas, 7216, Jeddah 23425, Saudi Arabia",23425,39.12673465,21.58444193,Amusement & Leisure,Amusement Parks & Arcades,Amusement center,Open,+966 50 087 8111,boostsaudi.com,4.1,2720.0,50.29,People typically spend up to 4 hours here,03-2025
cf2a434ce77c741ddf5023cc71ae5426,Toy Town,Dammam Metropolitan Area,Dammam,"King Fahd Bin Abdul Aziz Rd, Ash Shati Al Gharbi, Dammam 34232, Saudi Arabia",34232,50.1120173,26.46534674,Amusement & Leisure,Amusement Parks & Arcades,Amusement park,Open,+966 13 809 1009,toytown.com.sa,4.0,2653.0,44.43,People typically spend up to 2 hours here,03-2025
172007d43a576161c388ee527945b3ea,ALHOKAIR TIME,Makkah Province,Makkah,"Al Madinah Al Munawarah Rd, Az Zahir, Makkah 24222, Saudi Arabia",24222,39.80510484,21.44757016,Amusement & Leisure,Amusement Parks & Arcades,Amusement park,Open,+966 9200 06699,alhokair.com,3.9,8499.0,68.57,People typically spend up to 1.5 hours here,03-2025
f543f9f4ce9d02b03fc4689ee9941074,قيم المساء,Riyadh Province,Riyadh,"3311-3394 طريق الامام مالك، بدر،، الرياض 14724،, Riyadh 14716, Saudi Arabia",14716,46.69921455,24.55210628,Amusement & Leisure,Bowling & Billiards,Billiards supply store,Open,+966 53 368 8755,linktr.ee,4.1,225.0,32.0,People typically spend up to 3.5 hours here,03-2025
e097a40b53c49134ac6172d1d5d8306b,DAZ داز,Jeddah,Jeddah,"North Obhur, Prince Abdullah AlFaisal Street, Obhur Al-Shamaliyah, Jeddah 23815, Saudi Arabia",23815,39.11870168,21.75505982,Amusement & Leisure,Amusement Parks & Arcades,Amusement park,Open,+966 800 244 0306,daz.sa,4.6,467.0,36.71,People typically spend up to 3 hours here,03-2025
b564f41966978aca5e532d29a4d5139e,اسكيب مشن | Escape Mission,Riyadh Province,Riyadh,"King Abdulaziz Rd, Al Wurud, Riyadh 12252, Saudi Arabia",12252,46.68729912,24.72655116,Amusement & Leisure,Escape Rooms & Similar,Escape room center,Open,+966 50 111 0305,escapemission.sa.com,4.6,740.0,50.0,People typically spend up to 2 hours here,03-2025
4595552361a88698adb49abe53acfcd3,Boulevard World,Riyadh Province,Riyadh,"7199 الحوي, Al Aqiq, 2662, Riyadh 13516, Saudi Arabia",13516,46.59719019,24.7740327,Amusement & Leisure,Misc. Leisure Activities,Tourist attraction,Open,+966 50 334 7770,instagram.com,4.6,30820.0,58.43,People typically spend up to 2.5 hours here,03-2025
a7d96adac6a8e9c75eb0d30af9341112,فور لاند للترفيه,Riyadh Province,Riyadh,"Asir St, Dhahrat Laban, Riyadh 54825, Saudi Arabia",54825,46.54574912,24.62898321,Amusement & Leisure,Amusement Parks & Arcades,Theme park,Open,+966 53 754 5825,tiktok.com,4.0,248.0,64.71,People typically spend up to 1.5 hours here,03-2025
fc70d9fdc0d998076e93beb4313b63c5,Ajdan Walk,Dammam Metropolitan Area,Al Khobar,"Prince Turkey Street, Alkurnaish, Al Khobar 34446, Saudi Arabia",34446,50.21697195,26.28357369,Amusement & Leisure,Misc. Leisure Activities,Tourist attraction,Open,+966 9200 00658,ajdan.com,4.6,22740.0,38.57,People typically spend up to 1.5 hours here,03-2025
ae291c2c8adeda36769034c933b01aef,Jumpoline,Jeddah,Jeddah,"Prince Majid Rd, Al Marwah, Jeddah 23541, Saudi Arabia",23541,39.18510087,21.61557113,Amusement & Leisure,Amusement Parks & Arcades,Amusement center,Open,+966 53 109 6148,awsaudi.com,3.9,515.0,57.86,People typically spend up to 3.5 hours here,03-2025
50e5e0196e3b9ffd3123620eb8193bdc,Al Shallal Theme Park,Jeddah,Jeddah,"Al Kurnaysh Br Rd, Ash Shati, Jeddah 23413, Saudi Arabia",23413,39.10884244,21.56882991,Amusement & Leisure,Amusement Parks & Arcades,Amusement park ride,Open,+966 50 880 2206,alshallal.com.sa,4.1,26485.0,40.0,People typically spend up to 4 hours here,03-2025
95c50501d4a54ecb102bbc8c9d7d33e5,Battlekart GameOn Riyadh,Riyadh Province,Riyadh,"3112 Al Bahar Al Arabi, Ishbiliyah, Riyadh 13226, Saudi Arabia",13226,46.7925094,24.80199123,Amusement & Leisure,Misc. Leisure Activities,Adventure sports center,Open,+966 53 769 0165,battlekart.com,4.6,1727.0,53.29,People typically spend up to 2.5 hours here,03-2025
9d2f10843c074a5db29a429a4ee13aae,فابي لاند | Fabyland,البديع,Abha,Saudi Arabia,62581,42.57814448,18.23764335,Amusement & Leisure,Amusement Parks & Arcades,Amusement park,Open,+966 9200 08331,othaimleisure.com,3.8,1941.0,31.43,People typically spend up to 2 hours here,03-2025
7e5f4f78b28a2db29875aa9526953f64,Jumpoline,Eastern Province,Al Mubarraz,"FMAD8941، 8941 الامير طلال، 4645،، حي مشرفة،, Al Mubarraz 36342, Saudi Arabia",36342,49.59148276,25.44706757,Amusement & Leisure,Amusement Parks & Arcades,Amusement center,Open,+966 50 911 3765,instagram.com,3.9,804.0,71.14,People typically spend up to 4 hours here,03-2025
