poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
abdbdd354e94afefd37888572259b8f5,Bamboo Art,Riyadh Province,Riyadh,"شمس الدين الخوارزمي, Ar Rimal, Riyadh 13254, Saudi Arabia",13254,46.7999773,24.82815922,Arts & Culture,Art Galleries & Exhibits,Art gallery,Open,+966 55 404 2025,weebv.com,4.1,83.0,53.5,People typically spend up to 2.5 hours here,03-2025
81d235c4965ba3c46e5b8f613a5b60d7,AlMashtal Creative Incubator & House,Riyadh Province,Riyadh,"P St, Al Safarat, Riyadh 12523, Saudi Arabia",12523,46.61393086,24.68366647,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 55 444 7499,almashtal.io,4.6,246.0,47.17,People typically spend up to 2.5 hours here,03-2025
dd479ef2d6f1f136f99bf20a12ff43f9,Al-Ahsa Municipality Castle,Eastern Province,Al Mubarraz,"Government Departments Complex 1st, Al Mubarraz 36421, Saudi Arabia",36421,49.55413863,25.38864833,Arts & Culture,Museums & Cultural Centers,Museum,Open,+966 13 582 5000,alhasa.gov.sa,4.5,832.0,49.14,People typically spend up to 4 hours here,03-2025
21ca4d1435fc290dc427ab66479ad308,talaween art,Riyadh Province,Riyadh,"Prince Mamduh Bin Abdulaziz St, As Sulimaniyah, Riyadh 12245, Saudi Arabia",12245,46.68903539,24.70977987,Arts & Culture,Art Galleries & Exhibits,Art gallery,Open,+966 55 200 0411,instagram.com,3.9,299.0,43.14,People typically spend up to 2.5 hours here,03-2025
a483e304aa411a329a3411a77643e34f,tarfay,Dammam Metropolitan Area,Al Khobar,"Prince Nasser St, Al Khobar Al Shamalia, Al Khobar 34427, Saudi Arabia",34427,50.21219124,26.29179572,Arts & Culture,Art Galleries & Exhibits,Art gallery,Open,+966 53 679 0695,tarafaldaham.com,4.6,519.0,57.71,People typically spend up to 4 hours here,03-2025
151087a63572ccec52bb173bfa6d490e,دار الزبرج للديكورات,Eastern Province,Al Mubarraz,"شارع القدس, Al Rashdiyah, Al Mubarraz 36342, Saudi Arabia",36342,49.58302771,25.44612384,Arts & Culture,Art Galleries & Exhibits,Art gallery,Open,+966 56 472 8341,daralzbrj.com.sa,4.5,537.0,56.71,People typically spend up to 30 min here,03-2025
b375af794283a49222aceaa1a7f48907,King Abdulaziz Center for World Culture - Ithra,Dammam Metropolitan Area,Dhahran,"8386 Ring Rd, Gharb Al Dhahran, Dhahran 34461, Saudi Arabia",34461,50.11837941,26.33543052,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 800 122 1224,ithra.com,4.6,6607.0,35.67,People typically spend up to 4 hours here,03-2025
2fb586501146c116bf69e5c811d642b9,King Salman Science Oasis,Riyadh Province,Riyadh,"King Abdullah Rd, Al Raed, Riyadh 12354, Saudi Arabia",12354,46.63705233,24.71606727,Arts & Culture,Museums & Cultural Centers,Science museum,Open,+966 55 063 0404,ks-scienceoasis.org.sa,4.3,584.0,65.2,People typically spend up to 2 hours here,03-2025
5cca2c89877d1907aa85b89ee36b2fae,Al Hydaiyah Schools,Dammam Metropolitan Area,Dammam,"8578 احمد الترمذي, 5093, Al Jalawiyah, 5093, Dammam 32246, Saudi Arabia",32246,50.07878536,26.4335719,Arts & Culture,Museums & Cultural Centers,Cultural landmark,Open,+966 56 384 7077,hedaia.com,4.5,157.0,47.0,People typically spend up to 45 min here,03-2025
3a9f19309f0575ffe814f91d14f7177f,مركز حي الصفا النموذجي,Jeddah,Jeddah,"2504، حي الصفا 7717 جبل النديان جدة 23451 2504, Saudi Arabia",2504,39.20129043,21.57709952,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 55 768 9071,alahyaa.org.sa,4.3,1055.0,69.67,People typically spend up to 2 hours here,03-2025
2f2796f7c9d1cab8afb407e97e789918,Hayy Jameel (حيّ جميل),Jeddah,Jeddah,"7829, Al Muhammadiyah District, Jeddah 23615, Saudi Arabia",23615,39.12643332,21.6313179,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 12 228 3430,hayyjameel.org,4.5,1622.0,68.0,People typically spend up to 2.5 hours here,03-2025
363102a551842d063a9e6f22028219bc,Energy Exhibit,Dammam Metropolitan Area,Dhahran,"Saudi Aramco, Dhahran 34461, Saudi Arabia",34461,50.12001231,26.33444325,Arts & Culture,Museums & Cultural Centers,Science museum,Open,+966 800 122 1224,saudiaramco.com,4.6,2665.0,35.83,People typically spend up to 1 hour here,03-2025
a342c0cf10e563c4844e416014c9ca2a,Jotun Paints,Tuwaiq,Riyadh,"7734 Al Zahabi, 3112 Street, Riyadh 14928, Saudi Arabia",14928,46.54283516,24.56973898,Arts & Culture,Art Galleries & Exhibits,Paintings store,Open,+966 55 181 7805,jotun.com,4.6,84.0,46.57,People typically spend up to 1 hour here,03-2025
5b784b8cd5b5111fec14fd06ef5a30cb,معرض الوحي,Makkah Province,Makkah,"6484, 3404 6484, Makkah 24239, Saudi Arabia",24239,39.86632614,21.45719369,Arts & Culture,Museums & Cultural Centers,Museum,Open,+966 55 985 0986,heritagesites.sa,4.8,1834.0,58.29,People typically spend up to 4 hours here,03-2025
0c88602add291c1735bfe5c29a652533,مركز تفويج الزوار إلى غار حراء,Makkah Province,Makkah,"جبل النور، 3134 6560, Makkah 24239, Saudi Arabia",24239,39.86360643,21.45834389,Arts & Culture,Museums & Cultural Centers,Heritage museum,Open 24 hours,+966 53 777 2082,heritagesites.sa,4.7,236.0,34.86,People typically spend up to 30 min here,03-2025
8e618d0b0533a7fc19ea71bb1acca542,مركز حي النهضة الرجالي,Jeddah,Jeddah,"An Nahdah, Jeddah 23523, Saudi Arabia",23523,39.12373269,21.61569255,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 56 820 1169,alahyaa.org.sa,4.4,903.0,58.4,People typically spend up to 2 hours here,03-2025
717bae0bc0b8ed59a7dbb26e935f2a62,Society of Culture and Arts,Jeddah,Jeddah,"7520 Al Kurnaysh Br Rd، حي الشاطئ، 3238, Jeddah 23412, Saudi Arabia",23412,39.1180906,21.55917542,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 12 606 6364,sasca.org.sa,4.2,1061.0,52.57,People typically spend up to 4 hours here,03-2025
c163f54fbde13e57735277e8fd5be700,مرسم الفنان التشكيلي صالح النقيدان,سماح,Unaizah,"7976 حي الثقافة عنيزة 56446, Unaizah 56461, Saudi Arabia",56461,44.05084147,26.11124476,Arts & Culture,Museums & Cultural Centers,Art museum,Open,+966 55 513 2558,instagram.com,4.7,31.0,28.17,,03-2025
f40769f2f15cf03b0d24649d2c3b5c95,مؤسسة فن الوطن للانتاج الصوتي والمرئي,Riyadh Province,Riyadh,"2704 Al Mokaber Mountain, 6149, Ad Duraihimiyah, Riyadh 12796, Saudi Arabia",12796,46.6941928,24.58650137,Arts & Culture,Art Galleries & Exhibits,Art center,Open,+966 50 088 5887,youtube.com,4.3,147.0,40.0,,03-2025
d3efe82ba1d403be0f67f39c3ec29af5,مهرجان مكة غير,Makkah Province,Makkah,"MERB2609, 8012 عمرو بن قيس بن زيد رضي الله عنه, 2609, Makkah 24268, Saudi Arabia",24268,39.95101513,21.45442925,Arts & Culture,Fairs & Festivals,Festival,Open,+966 50 855 8778,snapchat.com,3.3,41.0,30.14,,03-2025
b165d7a2442ab2babf1d255482cfba5f,AlManshiyah Plaza | ميدان المنشية‎,Al Madinah Province,AlUla,"الوادي 2، 3066،، DADA9194، 9194, AlUla 43521, Saudi Arabia",43521,37.93714767,26.60244722,Arts & Culture,Museums & Cultural Centers,Cultural center,Open 24 hours,+966 9200 25003,experiencealula.com,4.4,194.0,,People typically spend up to 2 hours here,03-2025
102761f096cfd6cbe2a7b5ac126fecb1,مركز زوار حي الصور التاريخي,Yanbu,Yanbu,"Al Sur, Yanbu 46424, Saudi Arabia",46424,38.05713822,24.07833997,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 800 118 9999,heritage.moc.gov.sa,4.9,727.0,30.43,,03-2025
3a20f9f0bed70db1387ba765f12f45e9,دار الفنون اﻹسلامية بجدة,Jeddah,Jeddah,"Aziziyah, Jeddah 23334, Saudi Arabia",23334,39.18141117,21.55630186,Arts & Culture,Museums & Cultural Centers,Museum,Open,+966 55 880 8944,iarts.sa,4.7,511.0,43.43,,03-2025
c0f8fcff81cbe0e3e535a362450edafc,Sard Cultural Centre مركز سرد الثقافي,Riyadh Province,Riyadh,"King Saud University, Riyadh 12372, Saudi Arabia",12372,46.62417416,24.72176241,Arts & Culture,Museums & Cultural Centers,Cultural center,Open,+966 50 800 9173,sardculturalc.com,4.5,104.0,28.33,,03-2025
260a38c3cd70f43038f171873274d278,Ghars well,Al Madinah Province,Madinah,"6539, Ali Ibn Abi Talib, Qurban, Madinah 42316, Saudi Arabia",42316,39.62463616,24.44519044,Arts & Culture,Museums & Cultural Centers,Historical place museum,Open,+966 800 118 9999,heritage.moc.gov.sa,4.8,5787.0,,People typically spend up to 20 min here,03-2025
3bb321b7534fc88707df032758d7caaf,معرض وحراج جراب الزهيري للمعدات الثقيله,Riyadh Province,Riyadh,"حي, Street 10, Al Jazirah, Riyadh 12476, Saudi Arabia",12476,46.79592537,24.65015773,Arts & Culture,Art Galleries & Exhibits,Exhibit,Open,+966 55 595 9009,jrabzh.com,4.3,10.0,17.71,,03-2025
f79cb0db44915124176d4d7334a61728,متحف الزعيم,حي الشماس,Buraydah,"3180 حسين ابن نفيسه, حي الشماس، Buraydah 52355, Saudi Arabia",52355,43.96162243,26.33271849,Arts & Culture,Museums & Cultural Centers,Museum,Open,+966 53 364 2181,alzabin.net,5.0,2.0,29.14,,03-2025
d79f12b2310b347fc908bac38b139fe7,المرسم,Al Qassim Province,Buraydah,"7376 King Khaled Ibn Abd Al Aziz, Al Fayziyyah, Buraydah 52376, Saudi Arabia",52376,43.96555644,26.36751496,Arts & Culture,Art Galleries & Exhibits,Paintings store,Open 24 hours,+966 56 759 9975,linktr.ee,4.8,36.0,25.0,,03-2025
