poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
ae2bcf90eec70038c60108c5b12cb521,Tutti Cafe,Riyadh Province,Riyadh,"3950 طريق الأمير محمد بن عبدالعزيز، العليا،, 6522, 3950 Prince Muhammad Bin Abdulaziz Rd, Riyadh 12331, Saudi Arabia",12331,46.6708595,24.69250975,Dining & Drinking,Coffee & Tea Shops,Coffee shop,Open,+966 11 416 9595,tutticafe.net,4.1,2061.0,44.57,People typically spend up to 1 hour here,03-2025
3c4b3373adaebbd07add19799c72d689,شذرات كافيه,Dammam Metropolitan Area,Al Khobar,"8667, Al Khobar 34611, Saudi Arabia",34611,50.21656432,26.27504416,Dining & Drinking,Coffee & Tea Shops,Cafe,Open,+966 50 189 6526,beacons.ai,4.4,606.0,33.14,People typically spend up to 1.5 hours here,03-2025
ee9d385b6bb9195c243ef76ee9f1e48e,Shabab Albukhari Restaurant,Dammam Metropolitan Area,Dhahran,"Abdullah Ibn Al Abbas St, Al Dawhah Al Janubiyah, Dhahran 34452, Saudi Arabia",34452,50.15950751,26.32295938,Dining & Drinking,Restaurants & Eateries,Afghan restaurant,Open,+966 57 215 0278,hungerstation.com,4.1,903.0,36.57,People typically spend up to 30 min here,03-2025
364d23586da36cb23c37eaff69949c8e,Deraty Restaurant,Riyadh Province,Riyadh,"Arafat Rd، تقاطع طريق العزيزية مع, Riyadh 14518, Saudi Arabia",14518,46.78277239,24.57364346,Dining & Drinking,Restaurants & Eateries,Restaurant,Open,+966 9200 13111,heylink.me,4.0,5987.0,74.43,People typically spend up to 45 min here,03-2025
d04162b7e47e6cc953e65c4c305916be,Tune_Cafe,Dammam Metropolitan Area,Al Qatif,"Uhud Rd, Al Qudaih, Al Qatif 32661, Saudi Arabia",32661,49.98584869,26.56451046,Dining & Drinking,Coffee & Tea Shops,Cafe,Open 24 hours,+966 54 365 6720,instagram.com,4.6,361.0,47.86,People typically spend up to 30 min here,03-2025
d957f360c03eb6e457a274b82557406c,Broccoli Pizza & Pasta,Tabuk Principality,Tabuk,"4500، 8123 ابي بكر الصديق، المروج، تبوك 47312 4500, Tabuk 47312, Saudi Arabia",47312,36.58107729,28.41656539,Dining & Drinking,Restaurants & Eateries,Italian restaurant,Open,+966 55 100 4777,broccolipizzaandpasta.com,3.8,1308.0,46.14,People typically spend up to 2.5 hours here,03-2025
6df88201ebec656a8f872cd36a59471e,AlBaik,Jeddah,Jeddah,"Hira St, Ar Rabwah, Jeddah 23535, Saudi Arabia",23535,39.17825168,21.6185072,Dining & Drinking,Restaurants & Eateries,Fast food restaurant,Open,+966 800 244 2245,albaik.com,4.3,20313.0,51.14,People typically spend up to 30 min here,03-2025
45ea20db8dd2874c4732c4700bbe0019,بيت الشواية Shawaya House,Riyadh Province,Riyadh,"Al Mashtal, Alhazm, Riyadh 14964, Saudi Arabia",14964,46.65262186,24.54349623,Dining & Drinking,Restaurants & Eateries,Restaurant,Open,+966 9200 33336,shawayahouse.com.sa,3.6,1687.0,46.0,People typically spend up to 30 min here,03-2025
fc0b39a73f753e1dd8800b09ffea0ca4,مطعم أفاق النسيم,Riyadh Province,Afif,"King Abdallah street, Aluud, Afif 17521, Saudi Arabia",17521,42.92000924,23.91298171,Dining & Drinking,Restaurants & Eateries,Restaurant,Open,+966 50 752 3212,snapchat.com,3.9,341.0,70.57,People typically spend up to 45 min here,03-2025
034f1327341abf7864a9e55f5d67a139,Al Wilayah Kitchen,Dammam Metropolitan Area,Saihat,"Omar Ibn Abdul Aziz St, Al Firdaws, Saihat 32434, Saudi Arabia",32434,50.04323792,26.47080889,Dining & Drinking,Restaurants & Eateries,Restaurant,Open,+966 13 856 5566,instagram.com,4.2,354.0,30.57,People typically spend up to 25 min here,03-2025
