poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
5db1fd92a604b33cc533641f8dfa82b8,7L - House of Beauty & Spa,Jeddah,Jeddah,"Al Kurnaysh Br Rd, Al-Ruwais, Jeddah 21462, Saudi Arabia",21462,39.16208255,21.50727354,Personal & Household Services,Beauty & Wellness,Beauty salon,Open,+966 12 653 4898,instagram.com,4.1,409.0,45.43,People typically spend up to 3 hours here,03-2025
cd01d58ea15f7c518b230a82a8cbcfbf,الفارس لتأجير السيارات,Aseer Province,Khamis Mushait,"Al Tahliyah, Khamis Mushait 62454, Saudi Arabia",62454,42.68526773,18.29906823,Personal & Household Services,Auto & Vehicle Services,Car rental agency,Open 24 hours,+966 9200 18050,alfaris.sa,3.8,198.0,38.14,People typically spend up to 45 min here,03-2025
6f64ef2903f3bf56a4d86b72d90b6156,Al Jazirah Vehicles Service Center مركز صيانة توكيلات الجزيرة,Riyadh Province,Riyadh,"Al Madina Al Munawwarah Rd, As Suwaidi Al Gharabi, Riyadh 12978, Saudi Arabia",12978,46.60992752,24.58086494,Personal & Household Services,Auto & Vehicle Services,Auto repair shop,Open,+966 11 233 3233,ar.aljazirahford.com,3.8,831.0,73.67,People typically spend up to 1.5 hours here,03-2025
be5eca8c675daca4be8cdabbac3b15a6,Petromin Express,Umm Al Hamam Al Gharbi,Riyadh,"King Khalid Rd, Umm Al Hamam Al Gharbi, Riyadh 12329, Saudi Arabia",12329,46.63356653,24.68762967,Personal & Household Services,Auto & Vehicle Services,Oil change service,Open,+966 800 442 0020,petromin.express,4.1,428.0,51.43,People typically spend up to 1 hour here,03-2025
886778ad7be225514028855a349d6c1c,Volkswagen Service Center Jeddah,Jeddah,Jeddah,"Al-Madinah Al-Munawarah Rd, Aziziyah, Jeddah 21463, Saudi Arabia",21463,39.17301793,21.55478213,Personal & Household Services,Auto & Vehicle Services,Car repair and maintenance service,Open,+966 800 118 0099,samaco.com.sa,4.3,303.0,66.17,People typically spend up to 1.5 hours here,03-2025
2b28aab02959f673217d68d9e7493866,Tamimi Valve Services,Eastern Province,Al Jubail,"ٌRoad 274, Al Jubail 35554, Saudi Arabia",35554,49.4962554,26.90701161,Personal & Household Services,Household Repairs & Maintenance,Repair service,Open,+966 13 511 4888,tamimi-tis.com,3.9,24.0,67.33,People typically spend up to 4 hours here,03-2025
41952e927c38fb3e122bfa473c7a510c,الفحص الدوري للسيارات والمركبات - Motor Vehicle Periodic Inspection,Wadi Al-Dawasir,Wadi ad-Dawasir,"Wadi ad-Dawasir 18611, Saudi Arabia",18611,45.16218449,20.39913855,Personal & Household Services,Auto & Vehicle Services,Vehicle inspection service,Open,+966 59 976 4274,mvpi.com.sa,3.7,8188.0,77.67,People typically spend up to 4 hours here,03-2025
fa07ce0c0db554a5ffcb4c07db4bcda2,عبق أزور للتزيين النسائي | AZORES,Jeddah,Jeddah,"3016 Fahed Bei Zouair, Al Zahra District، Jeddah 23522, Saudi Arabia",23522,39.12529897,21.60579669,Personal & Household Services,Beauty & Wellness,Beauty salon,Open,+966 55 099 0727,azoressa.com,4.1,159.0,42.67,People typically spend up to 2 hours here,03-2025
f7e66a93fb7373e75e63e482718ded01,يهماء لتأجير السيارات - الفرع الرئيسي,Riyadh Province,Riyadh,"Prince Musaad Bin Abdulaziz St, As Sulimaniyah, Riyadh 12234, Saudi Arabia",12234,46.71370094,24.70446537,Personal & Household Services,Auto & Vehicle Services,Car rental agency,Open,+966 9200 10254,yahma.sa,3.8,395.0,47.29,People typically spend up to 45 min here,03-2025
9a63e6339af2e2798c156e84f168bc40,مغاسل الذهبية السريعة,Taif,Taif,"6922، الطائف 26565 4939, Taif 12345, Saudi Arabia",12345,40.42554059,21.28081025,Personal & Household Services,Laundry & Cleaning,Laundry,Open,+966 12 732 4050,business.google.com,4.9,615.0,58.57,People typically spend up to 4 hours here,03-2025
1a77e4ae8e8b841e25b1bd8e8e38e1fc,Hyundai Bodyshop,Riyadh Province,Riyadh,"Nablis, Al Faisaliyyah, Riyadh 12896, Saudi Arabia",12896,46.78923268,24.63006726,Personal & Household Services,Auto & Vehicle Services,Auto body shop,Open,+966 11 270 2350,hyundai.com,3.0,506.0,63.0,People typically spend up to 4 hours here,03-2025
fed60f0d4d03140cea6f098943570a08,Mazda - Service Center,Eastern Province,Al Hofuf,"Al Salmaniyah North, Al Hofuf 36421, Saudi Arabia",36421,49.55023281,25.36244265,Personal & Household Services,Auto & Vehicle Services,Car repair and maintenance service,Open,+966 800 244 0140,mazda.com.sa,3.5,401.0,38.5,People typically spend up to 3 hours here,03-2025
07e5b42466c5d798aa785cd1edd2c53f,Petromin Express,Eastern Province,Al Fodhool,"Ugair Rd, Al Fodhool 36287, Saudi Arabia",36287,49.7206945,25.37127945,Personal & Household Services,Auto & Vehicle Services,Oil change service,Open,+966 800 442 0020,petromin.express,4.6,407.0,43.29,People typically spend up to 30 min here,03-2025
a76fc65c73307e9b9006b58a0b4b83ed,ذيب لتأجير السيارات,Riyadh Province,Riyadh,"غرب بجوار مدارس عهد الأهلية, Imam Saud Bin Abdulaziz Bin Mohammed Rd, At Taawun, حي, Riyadh 11423, Saudi Arabia",11423,46.69797326,24.76410595,Personal & Household Services,Auto & Vehicle Services,Car rental agency,Open,+966 9200 00572,theebonline.com,3.8,760.0,45.57,People typically spend up to 45 min here,03-2025
533445bd62fc275ab0deb42042f16a4a,مركز خدمة إيه سي دلكو الشفا,Riyadh Province,Riyadh,"Dirab Rd، حي الشفا،, Riyadh 14712, Saudi Arabia",14712,46.69849854,24.57773677,Personal & Household Services,Auto & Vehicle Services,Car repair and maintenance service,Open,+966 11 421 3226,acdscksa.com,3.9,116.0,28.43,People typically spend up to 4 hours here,03-2025
128f35a76d054fa1b06b22a14d876358,عناية صالون وسبا للسيدات | فرع حي السامر بجدة,Jeddah,Jeddah,"6738 Wahib Bin Umair, 3639، As Samir District، Jeddah 23462, Saudi Arabia",23462,39.23448412,21.5892788,Personal & Household Services,Beauty & Wellness,Beauty salon,Open,+966 9200 03686,enayacare.com,4.4,2053.0,54.43,People typically spend up to 1.5 hours here,03-2025
228dacec03cdcce2100f69d81195d140,Petromin Express,Dammam Metropolitan Area,Mecca,"Prince Nayef Bin Abdulaziz Road, Al Aziziyah, Mecca 32424, Saudi Arabia",32424,50.0594602,26.46269264,Personal & Household Services,Auto & Vehicle Services,Oil change service,Open,+966 800 442 0020,petromin.express,4.3,387.0,47.86,People typically spend up to 1.5 hours here,03-2025
1f3b38019604d022843fc6549a0583f6,Petromin Express,Eastern Province,Juatha,"Al Kulabiyah, Juatha 36348, Saudi Arabia",36348,49.64045728,25.44120017,Personal & Household Services,Auto & Vehicle Services,Oil change service,Open,+966 800 442 0020,petromin.express,4.4,126.0,41.0,People typically spend up to 2 hours here,03-2025
2e8bc07431470ef0417cfcd34d533fca,TAQDEER,Riyadh Province,Riyadh,"In an industrial north of Riyadh, Al qirawan area،, Riyadh 13542, Saudi Arabia",13542,46.57247079,24.85122416,Personal & Household Services,Auto & Vehicle Services,Car inspection station,Open,+966 9200 00460,taqdeer.sa,3.9,898.0,37.5,People typically spend up to 45 min here,03-2025
f9cdbe07e370df6f7f6be4a3c3bce291,NAFT,Jeddah,Jeddah,"Ibn Omran, Al Bawadi, Jeddah 23443, Saudi Arabia",23443,39.16127637,21.5867099,Personal & Household Services,Auto & Vehicle Services,Car repair and maintenance service,Open 24 hours,+966 55 102 8422,apsco.com.sa,4.2,577.0,55.71,People typically spend up to 30 min here,03-2025
b10e0be1edd9911d7cf06cbfec8c661e,تلميع سيارات ( دروب السعادة),Riyadh Province,Riyadh,"Abdul Rahman Ibn Awf Rd, As Salam, Riyadh 14227, Saudi Arabia",14227,46.82146888,24.70448318,Personal & Household Services,Auto & Vehicle Services,Car wash,Open,+966 53 308 7050,thespecialcar.com,4.8,387.0,41.86,People typically spend up to 1 hour here,03-2025
bea3e9503128351b72ab49b973a2d21d,Tale Scissors barber,Najran Province,Najran,"2787 King Faisal Rd, Najran 66262, Saudi Arabia",66262,44.20844729,17.53446855,Personal & Household Services,Beauty & Wellness,Barber shop,Open,+966 55 865 5987,instagram.com,4.3,517.0,41.43,People typically spend up to 1.5 hours here,03-2025
