poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
343efe4b3f2a45dc1aafb94d998089ef,Nahdi pharmacy | صيدليه النهدى,Jeddah,Jeddah,"3821 الواحة، 9046, Jeddah 23354, Saudi Arabia",23354,39.24604734,21.56749873,Retail & Shopping,Drug & Pharma,Pharmacy,Open,+966 9200 24673,nahdionline.com,3.8,93.0,39.29,People typically spend up to 25 min here,03-2025
ddc0c8bf58b154bcb3f946619d94d1ac,Lexus,Walyal Ahd Dist.,Makkah,"Walyal Ahd Dist., Makkah 24353, Saudi Arabia",24353,39.79701015,21.36748517,Retail & Shopping,Auto & Vehicle Retail,Car dealer,Open,+966 54 566 1128,lexus.com.sa,4.0,187.0,39.8,People typically spend up to 3.5 hours here,03-2025
65475af519ad7356bb98afb75075ab87,Ceramic Home - Main Branch Al Kharj Rd منزل السيراميك - الفرع الرئيسي طريق الخرج,Riyadh Province,Riyadh,"3533 Al Kharj Rd, Al Aziziyah, Riyadh 14511, Saudi Arabia",14511,46.76977773,24.60814998,Retail & Shopping,Home & Furniture,Tile store,Open,+966 800 122 2230,ceramichome.com.sa,3.7,538.0,63.29,People typically spend up to 1.5 hours here,03-2025
9e3d5ff81a33b77e15a46c5084daa3a5,صيدلية نبض بلادي للأدوية,Al Madinah Province,Madinah,"رضى الله عنه، 3570 Malek Ibn Ohaib, Al Aziziyyah, Madinah 42376, Saudi Arabia",42376,39.50295779,24.41231051,Retail & Shopping,Drug & Pharma,Pharmacy,Open,+966 57 726 2715,instagram.com,4.5,31.0,48.29,People typically spend up to 25 min here,03-2025
7e591a839b7154a20fe5205f2514fb67,Al Raya # 27 - Rusefah - الراية,Makkah Province,Makkah,"Ar Rusayfah, Makkah 24232, Saudi Arabia",24232,39.78169397,21.40521592,Retail & Shopping,Shopping Centers,Supermarket,Open,+966 59 085 5976,alraya.com.sa,3.8,2689.0,49.43,People typically spend up to 25 min here,03-2025
84035b24392a63b5a4a5bb0420f53310,Mansour Library,Al Qassim Province,Buraydah,"Umar Ibn Abdul Aziz Rd, Al Dahi, Buraydah 52345, Saudi Arabia",52345,44.03898396,26.30991083,Retail & Shopping,Office & Stationery,Stationery store,Open,+966 53 368 6688,mansour.sa,3.9,588.0,50.0,People typically spend up to 30 min here,03-2025
d5352d0ec22659a7a698d56bc36293cf,MyOwn,Riyadh Province,Riyadh,"Khalf Ibn Saad, Al Futah, Riyadh 12632, Saudi Arabia",12632,46.71403946,24.64017572,Retail & Shopping,Shopping Centers,Shopping mall,Open,+966 50 055 4744,myown.sa,3.9,86.0,38.71,People typically spend up to 3 hours here,03-2025
95b65fa863a1ed3d56502feca53cb66e,Farm Superstore,Eastern Province,Al Jubail,"شارع الكرامة 6, Deffi, Al Jubail 35816, Saudi Arabia",35816,49.52378147,27.13322071,Retail & Shopping,Shopping Centers,Supermarket,Open,+966 9200 12507,farm.com.sa,3.9,1420.0,35.29,People typically spend up to 45 min here,03-2025
0499f19da803a4e8d1fde28c89adb7a7,صيدلية الدواء,Riyadh Province,Riyadh,"Prince Muqrin Ibn Abdulaziz St, Al Mughrizat, Riyadh 12481, Saudi Arabia",12481,46.71664181,24.75967147,Retail & Shopping,Drug & Pharma,Pharmacy,Open,+966 800 244 4444,al-dawaa.com,3.3,106.0,49.86,People typically spend up to 45 min here,03-2025
5d50c6a1a483d98a75bd0f46c8fd6f73,Nahdi pharmacy | صيدليه النهدى,Taif,Taif,"Aljal, Taif 26523, Saudi Arabia",26523,40.44110442,21.28947257,Retail & Shopping,Drug & Pharma,Pharmacy,Open,+966 9200 24673,nahdionline.com,3.6,98.0,42.0,People typically spend up to 2.5 hours here,03-2025
3fba0d090713f69cd65ed15bb24cf89f,Jarir Bookstore,Sakaka,Sakaka,"King Fahd Ibn Abdulaziz Rd, Almatr, Sakaka 72341, Saudi Arabia",72341,40.21216513,29.97600888,Retail & Shopping,Books & Comics,Book store,Open,+966 9200 00089,jarir.com,4.0,336.0,49.29,People typically spend up to 45 min here,03-2025
8d80c029f68ea11384e453e59b862c07,ركن تداوينا الثالثة,حي الربيع,Buraydah,"7894 King Khalid Rd, حي الربيع، Buraydah 52361, Saudi Arabia",52361,43.97901117,26.33868568,Retail & Shopping,Drug & Pharma,Pharmacy,Open 24 hours,+966 59 565 5909,tadawina.sa,3.6,69.0,31.86,People typically spend up to 45 min here,03-2025
