poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
45d4a0aae77ad011165983d71a2a8fe7,Alfursan Lounge - jeddah airport,Jeddah,Jeddah,"طريق المدينة المنورة،،, King Abdulaziz International Airport, Jeddah 23635, Saudi Arabia",23635,39.17140863,21.66273413,Travel & Lodging,Travel Agencies,Travel lounge,Open 24 hours,+966 12 699 9996,saudia.com,4.3,20574.0,64.43,People typically spend up to 1.5 hours here,03-2025
0b5f77bbe9c7b09a366f941317699e68,Al Sheraa Camp,Makkah Province,Rabigh,"Ankas Near Petrorabigh, Rabigh 21911, Saudi Arabia",21911,39.03545074,22.74856535,Travel & Lodging,Vacation Rentals & RV,Camping cabin,Open,+966 12 422 1136,gsest.sa,3.0,3.0,33.0,People typically spend up to 4 hours here,03-2025
66a13e4d25016031ccc54edac4c2f31d,Akbar Travels And Tourism Co. Al Khobar,Dammam Metropolitan Area,Al Khobar,"King Abdulaziz St, Al Khobar Al Shamalia, Al Khobar 34429, Saudi Arabia",34429,50.20429846,26.28732319,Travel & Lodging,Travel Agencies,Travel agency,Open,+966 13 804 0777,akbartravels.com,4.7,99.0,39.43,People typically spend up to 2.5 hours here,03-2025
56c990fdd1b320823d2ff1f218fc2c37,Sultan middle east immigration,Riyadh Province,Riyadh,"2551 Mousa Complex, Al Olaya, Building 4, ground floor, Riyadh 12221, Saudi Arabia",12221,46.68729191,24.68539613,Travel & Lodging,Travel Agencies,Travel agency,Open,+966 59 682 7467,sultanimmigration.com,4.5,64.0,65.67,People typically spend up to 3 hours here,03-2025
74766ff789833fd4c72bae688f30a526,مكتب الفارس حجزتذاكر الباصات اليمن,Al Madinah Province,Madinah,"حي المستراح، شارع عبد المجيد بن عبد العزيز, Masjid Ad Dar, Madinah 42313, Saudi Arabia",42313,39.60313943,24.48586138,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+966 50 746 1473,maps.app.goo.gl,4.7,44.0,43.0,People typically spend up to 2.5 hours here,03-2025
08fa533eea48f7c05843ec92d7996a0a,Tamanna Travels,Riyadh Province,Riyadh,"Ad Dirah, Riyadh 12634, Saudi Arabia",12634,46.71447743,24.63786526,Travel & Lodging,Travel Agencies,Travel agency,Open,+966 54 291 9588,facebook.com,4.2,5.0,30.43,People typically spend up to 4 hours here,03-2025
222c868caace755c6a0e1c5699f8126c,وكالة ارتقاء المسافر للسفر والسياحة,Umm Al Hamam Al Sharqi,Riyadh,"6609 Umm Al Hamam St, Umm Al Hamam Al Sharqi, Riyadh 12321, Saudi Arabia",12321,46.65224787,24.68003753,Travel & Lodging,Travel Agencies,Travel agency,Open,+966 50 966 9766,twitter.com,4.7,120.0,51.5,People typically spend up to 2 hours here,03-2025
e4c73bfb49b9cf54f9bc8804e2b80cbf,Formula Travel Agency,Jeddah,Jeddah,"7155 King Fahd Br Rd, An Nuzhah, Jeddah 23534, Saudi Arabia",23534,39.16150325,21.62422096,Travel & Lodging,Travel Agencies,Travel agency,Open,+966 9200 04080,formula.com.sa,4.4,272.0,63.14,People typically spend up to 45 min here,03-2025
4e2d2ead51adcbfaef80b9a0c382f923,Villa the Greek,Riyadh Province,Riyadh,"المهدية، طريق الملك فهد , طريق العروبه،،, Riyadh 13758, Saudi Arabia",13758,46.50897665,24.66576434,Travel & Lodging,Vacation Rentals & RV,Camping cabin,Open,+966 55 099 9920,instagram.com,4.6,235.0,34.86,People typically spend up to 4 hours here,03-2025
fc60efb55ffc15ce12efdac8d63d3893,‪Almosafer travel‬,Dammam Metropolitan Area,Dammam,"5361 8023 Al Ashriah Street, Al Mazruiyah, Dammam 32414, Saudi Arabia",32414,50.12780978,26.45136997,Travel & Lodging,Travel Agencies,Travel agency,Open,+966 9200 00997,almosafer.com,3.1,120.0,41.8,People typically spend up to 1.5 hours here,03-2025
